Ticker symbol,Company,SEC filings,GICS?Sector,GICS Sub Industry,Address of Headquarters,Date first added
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",
MSI,Motorola Solutions Inc.,reports,Information Technology,Telecommunications Equipment,"Schaumburg, Illinois",
MUR,Murphy Oil,reports,Energy,Integrated Oil & Gas,"El Dorado, Arkansas",
MYL,Mylan Inc.,reports,Health Care,Pharmaceuticals,"Canonsburg, Pennsylvania",
NBR,Nabors Industries Ltd.,reports,Energy,Oil & Gas Drilling,"Hamilton, Bermuda",
NDAQ,NASDAQ OMX Group,reports,Financials,Diversified Financial Services,"New York, New York",
NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",
NTAP,NetApp,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",
NFLX,NetFlix Inc.,reports,Information Technology,Internet Software & Services,"Los Gatos, California",
NWL,Newell Rubbermaid Co.,reports,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",
NFX,Newfield Exploration Co,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
NEM,Newmont Mining Corp. (Hldg. Co.),reports,Materials,Gold,"Denver, Colorado",
NWSA,News Corporation,reports,Consumer Discretionary,Publishing,"New York, New York",
NEE,NextEra Energy Resources,reports,Utilities,Multi-Utilities & Unregulated Power,"Juno Beach, Florida",
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,"New York, New York",2013/7/8
NKE,NIKE Inc.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",
NI,NiSource Inc.,reports,Utilities,Multi-Utilities & Unregulated Power,"Merrillville, Indiana",
NE,Noble Corp,reports,Energy,Oil & Gas Drilling,"Geneva, Switzerland",
NBL,Noble Energy Inc,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
JWN,Nordstrom,reports,Consumer Discretionary,Department Stores,"Seattle, Washington",
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,"Norfolk, Virginia",
NTRS,Northern Trust Corp.,reports,Financials,Diversified Financial Services,"Chicago, Illinois",
NOC,Northrop Grumman Corp.,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",
NU,Northeast Utilities,reports,Utilities,Multi-Utilities & Unregulated Power,"Berlin, Connecticut",
NRG,NRG Energy,reports,Utilities,Multi-Utilities & Unregulated Power,"Princeton, New Jersey",
NUE,Nucor Corp.,reports,Materials,Steel,"Charlotte, North Carolina",
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,"Santa Clara, California",
KORS,Michael Kors,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",
OMC,Omnicom Group,reports,Consumer Discretionary,Advertising,"New York, New York",
OKE,ONEOK,reports,Utilities,Gas Utilities,"Tulsa, Oklahoma",
ORCL,Oracle Corp.,reports,Information Technology,Application Software,"Redwood Shores, California",
OI,Owens-Illinois Inc,reports,Materials,Metal & Glass Containers,"Perrysburg, Ohio",
PCG,P G & E Corp.,reports,Utilities,Multi-Utilities & Unregulated Power,"San Francisco, California",
PCAR,PACCAR Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Bellevue, Washington",
PLL,Pall Corp.,reports,Industrials,Industrial Conglomerates,"Port Washington, New York",
PH,Parker-Hannifin,reports,Industrials,Industrial Conglomerates,"Cleveland, Ohio",
PDCO,Patterson Companies,reports,Health Care,Health Care Supplies,"St. Paul, Minnesota",
PAYX,Paychex Inc.,reports,Information Technology,Internet Software & Services,"Penfield, New York",
BTU,Peabody Energy,reports,Energy,Oil & Gas Exploration & Production,"St. Louis, Missouri",
PNR,Pentair Ltd.,reports,Industrials,Industrial Conglomerates,"Schaffhausen, Switzerland",2012/10/1
PBCT,People's United Bank,reports,Financials,Banks,"Bridgeport, Connecticut",
POM,Pepco Holdings Inc.,reports,Utilities,Multi-Utilities & Unregulated Power,Washington D.C,
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,"Purchase, New York",
PKI,PerkinElmer,reports,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts",
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",2011/12/16
PETM,"PetSmart, Inc.",reports,Consumer Discretionary,Specialty Stores,"Phoenix, Arizona",2012/10/10
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,"New York, New York",
PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York, New York",
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",2012/4/30
PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities & Unregulated Power,"Phoenix, Arizona",
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",
PBI,Pitney-Bowes,reports,Industrials,Data Processing Services,"Stamford, Connecticut",
PCL,Plum Creek Timber Co.,reports,Financials,REITs,"Seattle, Washington",
PNC,PNC Financial Services,reports,Financials,Banks,"Pittsburgh, Pennsylvania",
RL,Polo Ralph Lauren Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",
PPG,PPG Industries,reports,Materials,Diversified Chemicals,"Pittsburgh, Pennsylvania",
PPL,PPL Corp.,reports,Utilities,Multi-Utilities & Unregulated Power,"Allentown, Pennsylvania",
PX,Praxair Inc.,reports,Materials,Industrial Gases,"Danbury, Connecticut",
PCP,Precision Castparts,reports,Industrials,Industrial Conglomerates,"Portland, Oregon",
PCLN,Priceline.com Inc,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",
PFG,Principal Financial Group,reports,Financials,Diversified Financial Services,"Des Moines, Iowa",
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",
PLD,Prologis,reports,Financials,Diversified Financial Services,"San Francisco, California",
PRU,Prudential Financial,reports,Financials,Diversified Financial Services,"Newark, New Jersey",
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Multi-Utilities & Unregulated Power,"Newark, New Jersey",
PSA,Public Storage,reports,Financials,REITs,"Glendale, California",
PHM,Pulte Homes Inc.,reports,Consumer Discretionary,Homebuilding,"Bloomfield Hills, Michigan",
PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013/2/15
QEP,QEP Resources,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado[5]",
PWR,Quanta Services Inc.,reports,Industrials,Industrial Conglomerates,"Houston, Texas",
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,"San Diego, California",
DGX,Quest Diagnostics,reports,Health Care,Health Care Facilities,"Madison, New Jersey",
RRC,Range Resources Corp.,reports,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",
RTN,Raytheon Co.,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",
RHT,Red Hat Inc.,reports,Information Technology,Systems Software,"Raleigh, North Carolina",
REGN,Regeneron,reports,Health Care,Biotechnology,"Tarrytown, New York",2013/5/1
RF,Regions Financial Corp.,reports,Financials,Diversified Financial Services,"Birmingham, Alabama",
RSG,Republic Services Inc,reports,Industrials,Industrial Conglomerates,"Phoenix, Arizona",
RAI,Reynolds American Inc.,reports,Consumer Staples,Tobacco,"Winston-Salem, North Carolina",
RHI,Robert Half International,reports,Industrials,Industrial Conglomerates,"Menlo Park, California",
ROK,Rockwell Automation Inc.,reports,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",
COL,Rockwell Collins,reports,Industrials,Industrial Conglomerates,"Cedar Rapids, Iowa",
ROP,Roper Industries,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",
RDC,Rowan Cos.,reports,Energy,Oil & Gas Drilling,"Houston, Texas",
R,Ryder System,reports,Industrials,Industrial Conglomerates,"Miami, Florida",
SWY,Safeway Inc.,reports,Consumer Staples,Food Retail,"Pleasanton, California",
CRM,Salesforce.com,reports,Information Technology,Internet Software & Services,"San Francisco, California",
SNDK,SanDisk Corporation,reports,Information Technology,Computer Storage & Peripherals,"Milpitas, California",
SCG,SCANA Corp,reports,Utilities,Multi-Utilities & Unregulated Power,"Cayce, South Carolina",
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",
SNI,Scripps Networks Interactive Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"Cincinnati, Ohio",
STX,Seagate Technology,reports,Information Technology,Computer Storage & Peripherals,"Dublin, Ireland",2012/6/29
SEE,Sealed Air Corp.(New),reports,Materials,Paper Packaging,"Elmwood Park, New Jersey",
SRE,Sempra Energy,reports,Utilities,Multi-Utilities & Unregulated Power,"San Diego, California",
SHW,Sherwin-Williams,reports,Materials,,"Cleveland, Ohio",
SIAL,Sigma-Aldrich,reports,Materials,Diversified Chemicals,"St. Louis, Missouri",
SPG,Simon Property Group Inc,reports,Financials,REITs,"Indianapolis, Indiana",
SLM,SLM Corporation,reports,Financials,Diversified Financial Services,"Newark, Delaware",
SJM,Smucker (J.M.),reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",
SNA,Snap-On Inc.,reports,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",
SO,Southern Co.,reports,Utilities,Multi-Utilities & Unregulated Power,"Atlanta, Georgia",
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",
SWN,Southwestern Energy,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas[6]",
SE,Spectra Energy Corp.,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",
STJ,St Jude Medical,reports,Health Care,Health Care Equipment & Services,"Little Canada, Minnesota",
SWK,Stanley Black & Decker,reports,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",
SPLS,Staples Inc.,reports,Consumer Discretionary,Specialty Stores,"Framingham, Massachusetts",
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",
HOT,Starwood Hotels & Resorts,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","White Plains, New York",
STT,State Street Corp.,reports,Financials,Diversified Financial Services,"Boston, Massachusetts",
SRCL,Stericycle Inc,reports,Industrials,Industrial Conglomerates,"Lake Forest, Illinois",
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment & Services,"Kalamazoo, Michigan",
STI,SunTrust Banks,reports,Financials,Banks,"Atlanta, Georgia",
SYMC,Symantec Corp.,reports,Information Technology,Application Software,"Mountain View, California",
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,"Houston, Texas",
TROW,T. Rowe Price Group,reports,Financials,Diversified Financial Services,"Baltimore, Maryland",
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Equipment & Instruments,"Schaffhausen, Switzerland",
TE,TECO Energy,reports,Utilities,Multi-Utilities & Unregulated Power,"Tampa, Florida",
THC,Tenet Healthcare Corp.,reports,Health Care,Health Care Facilities,"Dallas, Texas",
TDC,Teradata Corp.,reports,Information Technology,Application Software,"Miamisburg, Ohio",
TSO,Tesoro Petroleum Co.,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",
TXT,Textron Inc.,reports,Industrials,Industrial Conglomerates,"Providence, Rhode Island",
HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,"New York, New York",
TMO,Thermo Fisher Scientific,reports,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts",
TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",
TWX,Time Warner Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",
TWC,Time Warner Cable Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",
TMK,Torchmark Corp.,reports,Financials,Life & Health Insurance,"McKinney, Texas",
TSS,Total System Services,reports,Information Technology,Internet Software & Services,"Columbus, Georgia",
RIG,Transocean,reports,Energy,Oil & Gas Drilling,"Vernier, Switzerland",2013/10/28
TRIP,TripAdvisor,reports,Consumer Discretionary,Internet Retail,"Newton, Massachusetts",
FOXA,Twenty-First Century Fox,reports,Consumer Discretionary,Publishing,"New York, New York",2013/7/1
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",
TYC,Tyco International,reports,Industrials,Industrial Conglomerates,"Schaffhausen, Switzerland",
USB,U.S. Bancorp,reports,Financials,Banks,"Minneapolis, Minnesota",
UNP,Union Pacific,reports,Industrials,Railroads,"Omaha, Nebraska",
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",
X,United States Steel Corp.,reports,Materials,Steel,"Pittsburgh, Pennsylvania",
UTX,United Technologies,reports,Industrials,Industrial Conglomerates,"Hartford, Connecticut",
UNM,Unum Group,reports,Financials,Diversified Financial Services,"Chattanooga, Tennessee",
URBN,Urban Outfitters,reports,Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",
VFC,V.F. Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment & Services,"Palo Alto, California",
VTR,Ventas Inc,reports,Financials,Diversified Financial Services,"Chicago, Illinois",
VRSN,Verisign Inc.,reports,Information Technology,Internet Software & Services,"Dulles, Virginia",
VZ,Verizon Communications,reports,Telecommunications Services,Integrated Telecommunications Services,"New York, New York",
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2013/9/20
VIAB,Viacom Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",
V,Visa Inc.,reports,Information Technology,Internet Software & Services,"San Francisco, California",
VNO,Vornado Realty Trust,reports,Financials,REITs,"New York, New York",
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",
WMT,Wal-Mart Stores,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",
WAG,Walgreen Co.,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",
DIS,The Walt Disney Company,reports,Consumer Discretionary,Broadcasting & Cable TV,"Burbank, California",
GHC,Graham Holdings Company,reports,Consumer Discretionary,Publishing,Washington D.C,
WM,Waste Management Inc.,reports,Industrials,Environmental Services,"Houston, Texas",
WAT,Waters Corporation,reports,Health Care,Health Care Distributors & Services,"Milford, Massachusetts",
WLP,WellPoint Inc.,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",
WFC,Wells Fargo,reports,Financials,Banks,"San Francisco, California",
WDC,Western Digital,reports,Information Technology,Computer Storage & Peripherals,"Irvine, California",
WU,Western Union Co,reports,Information Technology,Internet Software & Services,"Englewood, Colorado",
WY,Weyerhaeuser Corp.,reports,Financials,REITs,"Federal Way, Washington",
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",
WFM,Whole Foods Market,reports,Consumer Staples,Food Retail,"Austin, Texas",
WMB,Williams Cos.,reports,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",
WIN,Windstream Communications,reports,Telecommunications Services,Integrated Telecommunications Services,"Little Rock, Arkansas",
WEC,Wisconsin Energy Corporation,reports,Utilities,Multi-Utilities & Unregulated Power,"Milwaukee, Wisconsin",
WPX,"WPX Energy, Inc.",reports,Energy,Integrated Oil & Gas,"Tulsa, Oklahoma",
WYN,Wyndham Worldwide,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",
XEL,Xcel Energy Inc,reports,Utilities,Multi-Utilities & Unregulated Power,"Minneapolis, Minnesota",
XRX,Xerox Corp.,reports,Information Technology,IT Consulting & Services,"Norwalk, Connecticut",
XLNX,Xilinx Inc,reports,Information Technology,Semiconductors,"San Jose, California",
XL,XL Capital,reports,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",
XYL,Xylem Inc.,reports,Industrials,Industrial Conglomerates,"White Plains, New York",
YHOO,Yahoo Inc.,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",
ZMH,Zimmer Holdings,reports,Health Care,Health Care Equipment & Services,"Warsaw, Indiana",
ZION,Zions Bancorp,reports,Financials,Banks,"Salt Lake City, Utah",
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",
