Ticker symbol,Company,SEC filings,GICS?Sector
DNB,Dun & Bradstreet,reports,Industrials
DYN,Dynegy Inc.,reports,Utilities
ETFC,E-Trade,reports,Financials
EMN,Eastman Chemical,reports,Materials
EK,Eastman Kodak,reports,Consumer Discretionary
ETN,Eaton Corp.,reports,Industrials
EBAY,eBay Inc.,reports,Information Technology
ECL,Ecolab Inc.,reports,Materials
EIX,Edison Int'l,reports,Utilities
EP,El Paso Corp.,reports,Energy
ERTS,Electronic Arts,reports,Information Technology
EMC,EMC Corp.,reports,Information Technology
EMR,Emerson Electric,reports,Industrials
ETR,Entergy Corp.,reports,Utilities
EOG,EOG Resources,reports,Energy
EQT,EQT Corporation,reports,Utilities
EFX,Equifax Inc.,reports,Industrials
EQR,Equity Residential,reports,Financials
EL,Estee Lauder Cos.,reports,Consumer Staples
EXC,Exelon Corp.,reports,Utilities
EXPE,Expedia Inc.,reports,Consumer Discretionary
EXPD,Expeditors Int'l,reports,Industrials
ESRX,Express Scripts,reports,Health Care
XOM,Exxon Mobil Corp.,reports,Energy
FDO,Family Dollar Stores,reports,Consumer Discretionary
FAST,Fastenal Co,reports,Industrials
FII,Federated Investors Inc.,reports,Financials
FDX,FedEx Corporation,reports,Industrials
FIS,Fidelity National Information Services,reports,Information Technology
FITB,Fifth Third Bancorp,reports,Financials
FHN,First Horizon National,reports,Financials
FSLR,First Solar Inc,reports,Industrials
FE,FirstEnergy Corp,reports,Utilities
FISV,Fiserv Inc,reports,Information Technology
FLIR,FLIR Systems,reports,Information Technology
FLS,Flowserve Corporation,reports,Industrials
FLR,Fluor Corp.,reports,Industrials
FMC,FMC Corporation,reports,Materials
FTI,FMC Technologies Inc.,reports,Energy
F,Ford Motor,reports,Consumer Discretionary
FRX,Forest Laboratories,reports,Health Care
FO,Fortune Brands Inc.,reports,Consumer Discretionary
FPL,FPL Group,reports,Utilities
BEN,Franklin Resources,reports,Financials
FCX,Freeport-McMoran Cp & Gld,reports,Materials
FTR,Frontier Communications,reports,Telecommunications Services
GME,GameStop Corp.,reports,Consumer Discretionary
GCI,Gannett Co.,reports,Consumer Discretionary
GPS,Gap (The),reports,Consumer Discretionary
GD,General Dynamics,reports,Industrials
GE,General Electric,reports,Industrials
GIS,General Mills,reports,Consumer Staples
GPC,Genuine Parts,reports,Consumer Discretionary
GNW,Genworth Financial Inc.,reports,Financials
GENZ,Genzyme Corp.,reports,Health Care
GILD,Gilead Sciences,reports,Health Care
GS,Goldman Sachs Group,reports,Financials
GR,Goodrich Corporation,reports,Industrials
GT,Goodyear Tire & Rubber,reports,Consumer Discretionary
GOOG,Google Inc.,reports,Information Technology
GWW,Grainger (W.W.) Inc.,reports,Industrials
HAL,Halliburton Co.,reports,Energy
HOG,Harley-Davidson,reports,Consumer Discretionary
HAR,Harman Int'l Industries,reports,Consumer Discretionary
HRS,Harris Corporation,reports,Information Technology
HIG,Hartford Financial Svc.Gp.,reports,Financials
HAS,Hasbro Inc.,reports,Consumer Discretionary
HCP,HCP Inc.,reports,Financials
HCN,Health Care REIT,reports,Financials
HNZ,Heinz (H.J.),reports,Consumer Staples
HES,Hess Corporation,reports,Energy
HPQ,Hewlett-Packard,reports,Information Technology
HD,Home Depot,reports,Consumer Discretionary
HON,Honeywell Int'l Inc.,reports,Industrials
HRL,Hormel Foods Corp.,reports,Consumer Staples
HSP,Hospira Inc.,reports,Health Care
HST,Host Hotels & Resorts,reports,Financials
HCBK,Hudson City Bancorp,reports,Financials
HUM,Humana Inc.,reports,Health Care
HBAN,Huntington Bancshares,reports,Financials
ITW,Illinois Tool Works,reports,Industrials
RX,IMS Health Inc.,reports,Health Care
TEG,Integrys Energy Group Inc.,reports,Utilities
INTC,Intel Corp.,reports,Information Technology
ICE,IntercontinentalExchange Inc.,reports,Financials
IBM,International Bus. Machines,reports,Information Technology
IFF,International Flav/Frag,reports,Materials
IGT,International Game Technology,reports,Consumer Discretionary
IP,International Paper,reports,Materials
IPG,Interpublic Group,reports,Consumer Discretionary
INTU,Intuit Inc.,reports,Information Technology
ISRG,Intuitive Surgical Inc.,reports,Health Care
IVZ,Invesco Ltd.,reports,Financials
IRM,Iron Mountain Incorporated,reports,Industrials
ITT,ITT Corporation,reports,Industrials
JBL,Jabil Circuit,reports,Information Technology
JEC,Jacobs Engineering Group,reports,Industrials
JNS,Janus Capital Group,reports,Financials
JDSU,JDS Uniphase Corp.,reports,Information Technology
JNJ,Johnson & Johnson,reports,Health Care
JCI,Johnson Controls,reports,Consumer Discretionary
JPM,JPMorgan Chase & Co.,reports,Financials
JNPR,Juniper Networks,reports,Information Technology
KBH,KB Home,reports,Consumer Discretionary
K,Kellogg Co.,reports,Consumer Staples
KEY,KeyCorp,reports,Financials
KMB,Kimberly-Clark,reports,Consumer Staples
KIM,Kimco Realty,reports,Financials
KG,King Pharmaceuticals,reports,Health Care
KLAC,KLA-Tencor Corp.,reports,Information Technology
KSS,Kohl's Corp.,reports,Consumer Discretionary
KFT,Kraft Foods Inc-A,reports,Consumer Staples
KR,Kroger Co.,reports,Consumer Staples
LLL,L-3 Communications Holdings,reports,Industrials
LH,Laboratory Corp. of America Holding,reports,Health Care
LM,Legg Mason,reports,Financials
LEG,Leggett & Platt,reports,Consumer Discretionary
LEN,Lennar Corp.,reports,Consumer Discretionary
LUK,Leucadia National Corp.,reports,Financials
LXK,Lexmark Int'l Inc,reports,Information Technology
LIFE,Life Technologies,reports,Health Care
LLY,Lilly (Eli) & Co.,reports,Health Care
LTD,Limited Brands Inc.,reports,Consumer Discretionary
LNC,Lincoln National,reports,Financials
LLTC,Linear Technology Corp.,reports,Information Technology
LMT,Lockheed Martin Corp.,reports,Industrials
L,Loews Corp.,reports,Financials
LO,Lorillard Inc.,reports,Consumer Staples
LOW,Lowe's Cos.,reports,Consumer Discretionary
LSI,LSI Corporation,reports,Information Technology
MTB,M&T Bank Corp.,reports,Financials
M,Macy's Inc.,reports,Consumer Discretionary
MRO,Marathon Oil Corp.,reports,Energy
MAR,Marriott Int'l.,reports,Consumer Discretionary
MMC,Marsh & McLennan,reports,Financials
MI,Marshall & Ilsley Corp.,reports,Financials
MAS,Masco Corp.,reports,Industrials
MEE,Massey Energy Company,reports,Energy
MA,Mastercard Inc.,reports,Information Technology
MAT,Mattel Inc.,reports,Consumer Discretionary
MBI,MBIA Inc.,reports,Financials
MFE,McAfee,reports,Information Technology
MKC,McCormick & Co.,reports,Consumer Staples
MCD,McDonald's Corp.,reports,Consumer Discretionary
MHP,McGraw-Hill,reports,Consumer Discretionary
MCK,McKesson Corp.,reports,Health Care
MWV,MeadWestvaco Corporation,reports,Materials
MHS,Medco Health Solutions Inc.,reports,Health Care
MDT,Medtronic Inc.,reports,Health Care
WFR,MEMC Electronic Materials,reports,Information Technology
MRK,Merck & Co.,reports,Health Care
MDP,Meredith Corp.,reports,Consumer Discretionary
MET,MetLife Inc.,reports,Financials
PCS,MetroPCS Communications Inc.,reports,Telecommunications Services
MCHP,Microchip Technology,reports,Information Technology
MU,Micron Technology,reports,Information Technology
MSFT,Microsoft Corp.,reports,Information Technology
MIL,Millipore Corp.,reports,Health Care
MOLX,Molex Inc.,reports,Information Technology
TAP,Molson Coors Brewing Company,reports,Consumer Staples
MON,Monsanto Co.,reports,Materials
MWW,Monster Worldwide,reports,Industrials
MCO,Moody's Corp,reports,Financials
MS,Morgan Stanley,reports,Financials
MOT,Motorola Inc.,reports,Information Technology
MUR,Murphy Oil,reports,Energy
MYL,Mylan Inc.,reports,Health Care
NBR,Nabors Industries Ltd.,reports,Energy
NDAQ,NASDAQ OMX Group,reports,Financials
NOV,National Oilwell Varco Inc.,reports,Energy
NSM,National Semiconductor,reports,Information Technology
NTAP,NetApp,reports,Information Technology
NYT,New York Times Cl. A,reports,Consumer Discretionary
NWL,Newell Rubbermaid Co.,reports,Consumer Discretionary
NEM,Newmont Mining Corp. (Hldg. Co.),reports,Materials
NWSA,News Corporation,reports,Consumer Discretionary
GAS,NICOR Inc.,reports,Utilities
NKE,NIKE Inc.,reports,Consumer Discretionary
NI,NiSource Inc.,reports,Utilities
NBL,Noble Energy Inc,reports,Energy
JWN,Nordstrom,reports,Consumer Discretionary
NSC,Norfolk Southern Corp.,reports,Industrials
NTRS,Northern Trust Corp.,reports,Financials
NOC,Northrop Grumman Corp.,reports,Industrials
NU,Northeast Utilities,reports,Energy
NOVL,Novell Inc.,reports,Information Technology
NVLS,Novellus Systems,reports,Information Technology
NUE,Nucor Corp.,reports,Materials
NVDA,Nvidia Corporation,reports,Information Technology
NYX,NYSE Euronext,reports,Financials
ORLY,O'Reilly Automotive,reports,Consumer Discretionary
OXY,Occidental Petroleum,reports,Energy
ODP,Office Depot,reports,Consumer Discretionary
OMC,Omnicom Group,reports,Consumer Discretionary
ORCL,Oracle Corp.,reports,Information Technology
OI,Owens-Illinois Inc,reports,Materials
PCAR,PACCAR Inc.,reports,Industrials
PTV,Pactiv Corp.,reports,Materials
PLL,Pall Corp.,reports,Industrials
PH,Parker-Hannifin,reports,Industrials
PDCO,Patterson Cos Inc,reports,Health Care
PAYX,Paychex Inc.,reports,Information Technology
BTU,Peabody Energy,reports,Energy
JCP,Penney (J.C.),reports,Consumer Discretionary
PBCT,People's United Bank,reports,Financials
POM,Pepco Holdings Inc.,reports,Utilities
PBG,Pepsi Bottling Group,reports,Consumer Staples
PEP,PepsiCo Inc.,reports,Consumer Staples
PKI,PerkinElmer,reports,Health Care
PFE,Pfizer Inc.,reports,Health Care
PCG,PG&E Corp.,reports,Utilities
PM,Philip Morris International,reports,Consumer Staples
PNW,Pinnacle West Capital,reports,Utilities
PXD,Pioneer Natural Resources,reports,Energy
PBI,Pitney-Bowes,reports,Industrials
PCL,Plum Creek Timber Co.,reports,Financials
PNC,PNC Financial Services,reports,Financials
RL,Polo Ralph Lauren Corp.,reports,Consumer Discretionary
PPG,PPG Industries,reports,Materials
PPL,PPL Corp.,reports,Utilities
PX,Praxair Inc.,reports,Materials
PCP,Precision Castparts,reports,Industrials
PFG,Principal Financial Group,reports,Financials
PG,Procter & Gamble,reports,Consumer Staples
PGN,Progress Energy Inc.,reports,Utilities
PGR,Progressive Corp.,reports,Financials
PLD,ProLogis,reports,Financials
PRU,Prudential Financial,reports,Financials
PEG,Public Serv. Enterprise Inc.,reports,Utilities
PSA,Public Storage,reports,Financials
PHM,Pulte Homes Inc.,reports,Consumer Discretionary
QLGC,QLogic Corp.,reports,Information Technology
PWR,Quanta Services Inc.,reports,Industrials
QCOM,QUALCOMM Inc.,reports,Information Technology
DGX,Quest Diagnostics,reports,Health Care
STR,Questar Corp.,reports,Utilities
Q,Qwest Communications Int,reports,Telecommunications Services
RSH,RadioShack Corp,reports,Consumer Discretionary
RRC,Range Resources Corp.,reports,Energy
RTN,Raytheon Co.,reports,Industrials
RHT,Red Hat Inc.,reports,Information Technology
RF,Regions Financial Corp.,reports,Financials
RSG,Republic Services Inc,reports,Industrials
RAI,Reynolds American Inc.,reports,Consumer Staples
RHI,Robert Half International,reports,Industrials
ROK,Rockwell Automation Inc.,reports,Industrials
COL,Rockwell Collins,reports,Industrials
ROP,Roper Industries,reports,Industrials
RDC,Rowan Cos.,reports,Energy
R,Ryder System,reports,Industrials
SWY,Safeway Inc.,reports,Consumer Staples
CRM,Salesforce.com,reports,Information Technology
SNDK,SanDisk Corporation,reports,Information Technology
SLE,Sara Lee Corp.,reports,Consumer Staples
SCG,SCANA Corp,reports,Utilities
SGPPRB,Schering-Plough,reports,Health Care
SLB,Schlumberger Ltd.,reports,Energy
SNI,Scripps Networks Interactive Inc.,reports,Consumer Discretionary
SEE,Sealed Air Corp.(New),reports,Materials
SHLD,Sears Holdings Corporation,reports,Consumer Discretionary
SRE,Sempra Energy,reports,Utilities
SHW,Sherwin-Williams,reports,Consumer Discretionary
SIAL,Sigma-Aldrich,reports,Materials
SPG,Simon Property Group Inc,reports,Financials
SLM,SLM Corporation,reports,Financials
SII,Smith International,reports,Energy
SJM,Smucker (J.M.),reports,Consumer Staples
SNA,Snap-On Inc.,reports,Consumer Discretionary
SO,Southern Co.,reports,Utilities
LUV,Southwest Airlines,reports,Industrials
SWN,Southwestern Energy,reports,Energy
SE,Spectra Energy Corp.,reports,Energy
S,Sprint Nextel Corp.,reports,Telecommunications Services
STJ,St Jude Medical,reports,Health Care
SWK,Stanley Works,reports,Consumer Discretionary
SPLS,Staples Inc.,reports,Consumer Discretionary
SBUX,Starbucks Corp.,reports,Consumer Discretionary
HOT,Starwood Hotels & Resorts,reports,Consumer Discretionary
STT,State Street Corp.,reports,Financials
SRCL,Stericycle Inc,reports,Industrials
SYK,Stryker Corp.,reports,Health Care
JAVA,Sun Microsystems,reports,Information Technology
SUN,Sunoco Inc.,reports,Energy
STI,SunTrust Banks,reports,Financials
SVU,Supervalu Inc.,reports,Consumer Staples
SYMC,Symantec Corp.,reports,Information Technology
SYY,Sysco Corp.,reports,Consumer Staples
TROW,T. Rowe Price Group,reports,Financials
TGT,Target Corp.,reports,Consumer Discretionary
TE,TECO Energy,reports,Utilities
TLAB,Tellabs Inc.,reports,Information Technology
THC,Tenet Healthcare Corp.,reports,Health Care
TDC,Teradata Corp.,reports,Information Technology
TER,Teradyne Inc.,reports,Information Technology
TSO,Tesoro Petroleum Co.,reports,Energy
TXN,Texas Instruments,reports,Information Technology
TXT,Textron Inc.,reports,Industrials
HSY,The Hershey Company,reports,Consumer Staples
TRV,The Travelers Companies Inc.,reports,Financials
TMO,Thermo Fisher Scientific,reports,Health Care
TIF,Tiffany & Co.,reports,Consumer Discretionary
TWX,Time Warner Inc.,reports,Consumer Discretionary
TWC,Time Warner Cable Inc.,reports,Consumer Discretionary
TIE,Titanium Metals Corp,reports,Materials
TJX,TJX Companies Inc.,reports,Consumer Discretionary
TMK,Torchmark Corp.,reports,Financials
TSS,Total System Services,reports,Information Technology
TSN,Tyson Foods,reports,Consumer Staples
USB,U.S. Bancorp,reports,Financials
UNP,Union Pacific,reports,Industrials
UNH,United Health Group Inc.,reports,Health Care
UPS,United Parcel Service,reports,Industrials
X,United States Steel Corp.,reports,Materials
UTX,United Technologies,reports,Industrials
UNM,Unum Group,reports,Financials
VFC,V.F. Corp.,reports,Consumer Discretionary
VLO,Valero Energy,reports,Energy
VAR,Varian Medical Systems,reports,Health Care
VTR,Ventas Inc,reports,Financials
VRSN,Verisign Inc.,reports,Information Technology
VZ,Verizon Communications,reports,Telecommunications Services
VIAB,Viacom Inc.,reports,Consumer Discretionary
VNO,Vornado Realty Trust,reports,Financials
VMC,Vulcan Materials,reports,Materials
WMT,Wal-Mart Stores,reports,Consumer Staples
WAG,Walgreen Co.,reports,Consumer Staples
DIS,Walt Disney Co.,reports,Consumer Discretionary
WPO,Washington Post Co B,reports,Consumer Discretionary
WM,Waste Management Inc.,reports,Industrials
WAT,Waters Corporation,reports,Health Care
WPI,Watson Pharmaceuticals,reports,Health Care
WLP,WellPoint Inc.,reports,Health Care
WFC,Wells Fargo,reports,Financials
WDC,Western Digital,reports,Information Technology
WU,Western Union Co,reports,Information Technology
WY,Weyerhaeuser Corp.,reports,Materials
WHR,Whirlpool Corp.,reports,Consumer Discretionary
WFMI,Whole Foods Market,reports,Consumer Staples
WMB,Williams Cos.,reports,Energy
WIN,Windstream Corporation,reports,Telecommunications Services
WEC,Wisconsin Energy Corporation,reports,Consumer Staples
WYN,Wyndham Worldwide,reports,Consumer Discretionary
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary
XEL,Xcel Energy Inc,reports,Utilities
XRX,Xerox Corp.,reports,Information Technology
XLNX,Xilinx Inc,reports,Information Technology
XL,XL Capital,reports,Financials
XTO,XTO Energy Inc.,reports,Energy
YHOO,Yahoo Inc.,reports,Information Technology
YUM,Yum! Brands Inc,reports,Consumer Discretionary
ZMH,Zimmer Holdings,reports,Health Care
ZION,Zions Bancorp,reports,Financials
